Date : 2023-11-23 14:39:13
Directory : c:\xampp\htdocs\farmaciaProFarma
Total : 775 files,  127110 codes, 45920 comments, 25077 blanks, all 198107 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\farmaciaProFarma\app\Controllers\Roles.php                                                                               | PHP        |        146 |          0 |         30 |        176 |
| c:\xampp\htdocs\farmaciaProFarma\app\Controllers\TemporalCompra.php                                                                      | PHP        |        120 |          5 |         19 |        144 |
| c:\xampp\htdocs\farmaciaProFarma\app\Controllers\Usuarios.php                                                                            | PHP        |        397 |          3 |         47 |        447 |
| c:\xampp\htdocs\farmaciaProFarma\app\Controllers\Ventas.php                                                                              | PHP        |        156 |          4 |         40 |        200 |
| c:\xampp\htdocs\farmaciaProFarma\app\Language\en\Validation.php                                                                          | PHP        |          2 |          1 |          2 |          5 |
| c:\xampp\htdocs\farmaciaProFarma\app\Libraries\barcode.php                                                                               | PHP        |        111 |         14 |         18 |        143 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\ArqueoCajaModel.php                                                                          | PHP        |         36 |          0 |         11 |         47 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\CajasModel.php                                                                               | PHP        |         24 |          0 |          9 |         33 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\CategoriasModel.php                                                                          | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\ComprasModel.php                                                                             | PHP        |         44 |          0 |         11 |         55 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\ConfiguracionModel.php                                                                       | PHP        |         21 |          0 |         10 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\DetalleCompraModel.php                                                                       | PHP        |         35 |          0 |         10 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\DetalleRolesPermisosModel.php                                                                | PHP        |         29 |          1 |         11 |         41 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\DetalleVentaModel.php                                                                        | PHP        |         35 |          0 |         10 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\LogsModel.php                                                                                | PHP        |         39 |          1 |         12 |         52 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\PermisosModel.php                                                                            | PHP        |         19 |          0 |          9 |         28 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\ProductosModel.php                                                                           | PHP        |         66 |          0 |         14 |         80 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\ProveedoresModel.php                                                                         | PHP        |         31 |          0 |         10 |         41 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\RolesModel.php                                                                               | PHP        |         19 |          0 |          9 |         28 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\TemporalCompraModel.php                                                                      | PHP        |         62 |          1 |         13 |         76 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\UsuariosModel.php                                                                            | PHP        |         33 |          0 |         11 |         44 |
| c:\xampp\htdocs\farmaciaProFarma\app\Models\VentasModel.php                                                                              | PHP        |         58 |          2 |         11 |         71 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\ArrayEnabled.php                                              | PHP        |         66 |         38 |         19 |        123 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\BinaryComparison.php                                          | PHP        |         99 |         17 |         21 |        137 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Calculation.php                                               | PHP        |      4,800 |        612 |        325 |      5,737 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Category.php                                                  | PHP        |         18 |          1 |          3 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database.php                                                  | PHP        |         53 |        360 |         14 |        427 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DAverage.php                                         | PHP        |         17 |         25 |          5 |         47 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DCount.php                                           | PHP        |         17 |         24 |          5 |         46 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DCountA.php                                          | PHP        |         17 |         23 |          5 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DGet.php                                             | PHP        |         19 |         26 |          7 |         52 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DMax.php                                             | PHP        |         17 |         26 |          5 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DMin.php                                             | PHP        |         17 |         26 |          5 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DProduct.php                                         | PHP        |         17 |         23 |          5 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DStDev.php                                           | PHP        |         17 |         26 |          5 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DStDevP.php                                          | PHP        |         17 |         26 |          5 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DSum.php                                             | PHP        |         17 |         25 |          5 |         47 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DVar.php                                             | PHP        |         17 |         26 |          5 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DVarP.php                                            | PHP        |         17 |         26 |          5 |         48 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Database\DatabaseAbstract.php                                 | PHP        |        108 |         52 |         28 |        188 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTime.php                                                  | PHP        |        139 |        702 |         46 |        887 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Constants.php                                   | PHP        |         34 |          1 |          4 |         39 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Current.php                                     | PHP        |         19 |         34 |          7 |         60 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Date.php                                        | PHP        |         82 |         64 |         21 |        167 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\DateParts.php                                   | PHP        |         77 |         59 |         19 |        155 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\DateValue.php                                   | PHP        |        100 |         46 |         17 |        163 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Days.php                                        | PHP        |         34 |         20 |          9 |         63 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Days360.php                                     | PHP        |         66 |         37 |         16 |        119 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Difference.php                                  | PHP        |        102 |         31 |         26 |        159 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Helpers.php                                     | PHP        |        196 |         60 |         33 |        289 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Month.php                                       | PHP        |         43 |         49 |         12 |        104 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\NetworkDays.php                                 | PHP        |         76 |         28 |         16 |        120 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Time.php                                        | PHP        |         80 |         36 |         15 |        131 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\TimeParts.php                                   | PHP        |         66 |         54 |         16 |        136 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\TimeValue.php                                   | PHP        |         44 |         29 |         11 |         84 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\Week.php                                        | PHP        |        149 |         89 |         37 |        275 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\WorkDay.php                                     | PHP        |        132 |         48 |         22 |        202 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel\YearFrac.php                                    | PHP        |         80 |         34 |         11 |        125 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\ArrayArgumentHelper.php                                | PHP        |        152 |         15 |         39 |        206 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\ArrayArgumentProcessor.php                             | PHP        |        116 |         16 |         31 |        163 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\BranchPruner.php                                       | PHP        |        142 |         33 |         34 |        209 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\CyclicReferenceStack.php                               | PHP        |         30 |         29 |          9 |         68 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\FormattedNumber.php                                    | PHP        |         86 |         36 |         26 |        148 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\Logger.php                                             | PHP        |         61 |         63 |         15 |        139 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\Operands\Operand.php                                   | PHP        |          7 |          0 |          4 |         11 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engine\Operands\StructuredReference.php                       | PHP        |        264 |         34 |         60 |        358 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering.php                                               | PHP        |        240 |      1,099 |         62 |      1,401 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\BesselI.php                                       | PHP        |         90 |         25 |         27 |        142 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\BesselJ.php                                       | PHP        |        125 |         24 |         28 |        177 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\BesselK.php                                       | PHP        |         82 |         27 |         22 |        131 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\BesselY.php                                       | PHP        |         90 |         26 |         22 |        138 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\BitWise.php                                       | PHP        |        128 |        105 |         36 |        269 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\Compare.php                                       | PHP        |         34 |         39 |         10 |         83 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\Complex.php                                       | PHP        |         55 |         51 |         16 |        122 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ComplexFunctions.php                              | PHP        |        257 |        288 |         67 |        612 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ComplexOperations.php                             | PHP        |         59 |         58 |         14 |        131 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\Constants.php                                     | PHP        |          6 |          3 |          3 |         12 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ConvertBase.php                                   | PHP        |         48 |          8 |         14 |         70 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ConvertBinary.php                                 | PHP        |         70 |         75 |         19 |        164 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ConvertDecimal.php                                | PHP        |         97 |         94 |         23 |        214 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ConvertHex.php                                    | PHP        |         70 |         87 |         19 |        176 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ConvertOctal.php                                  | PHP        |         68 |         90 |         17 |        175 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ConvertUOM.php                                    | PHP        |        530 |        106 |         49 |        685 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\EngineeringValidations.php                        | PHP        |         21 |          0 |          7 |         28 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\Erf.php                                           | PHP        |         58 |         43 |         13 |        114 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Engineering\ErfC.php                                          | PHP        |         46 |         27 |         10 |         83 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Exception.php                                                 | PHP        |         14 |          3 |          6 |         23 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\ExceptionHandler.php                                          | PHP        |         14 |          7 |          4 |         25 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial.php                                                 | PHP        |        219 |      1,105 |         52 |      1,376 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Amortization.php                                    | PHP        |        128 |         64 |         21 |        213 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\CashFlowValidations.php                    | PHP        |         33 |          3 |          9 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant\Periodic.php                      | PHP        |        128 |         47 |         21 |        196 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant\Periodic\Cumulative.php           | PHP        |         84 |         44 |         15 |        143 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant\Periodic\Interest.php             | PHP        |        132 |         60 |         22 |        214 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant\Periodic\InterestAndPrincipal.php | PHP        |         36 |          0 |          9 |         45 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant\Periodic\Payments.php             | PHP        |         74 |         31 |         12 |        117 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Single.php                                 | PHP        |         57 |         36 |         15 |        108 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Variable\NonPeriodic.php                   | PHP        |        234 |         44 |         31 |        309 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Variable\Periodic.php                      | PHP        |         93 |         47 |         20 |        160 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Constants.php                                       | PHP        |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Coupons.php                                         | PHP        |        214 |        163 |         35 |        412 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Depreciation.php                                    | PHP        |        159 |         76 |         36 |        271 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Dollar.php                                          | PHP        |         65 |         49 |         15 |        129 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\FinancialValidations.php                            | PHP        |         98 |          0 |         25 |        123 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Helpers.php                                         | PHP        |         30 |         22 |          7 |         59 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\InterestRate.php                                    | PHP        |         38 |         23 |         11 |         72 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Securities\AccruedInterest.php                      | PHP        |         83 |         56 |         13 |        152 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Securities\Price.php                                | PHP        |        169 |         94 |         21 |        284 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Securities\Rates.php                                | PHP        |         76 |         50 |         13 |        139 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Securities\SecurityValidations.php                  | PHP        |         26 |          0 |          7 |         33 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Securities\Yields.php                               | PHP        |         96 |         47 |         11 |        154 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Financial\TreasuryBill.php                                    | PHP        |         86 |         40 |         21 |        147 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\FormulaParser.php                                             | PHP        |        419 |        102 |         98 |        619 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\FormulaToken.php                                              | PHP        |         60 |         77 |         14 |        151 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Functions.php                                                 | PHP        |        279 |        320 |         69 |        668 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Information\ErrorValue.php                                    | PHP        |         31 |         30 |         11 |         72 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Information\ExcelError.php                                    | PHP        |         74 |         75 |         18 |        167 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Information\Value.php                                         | PHP        |        166 |        119 |         42 |        327 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Internal\MakeMatrix.php                                       | PHP        |          9 |          1 |          3 |         13 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Internal\WildcardMatch.php                                    | PHP        |         32 |          1 |          7 |         40 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Logical.php                                                   | PHP        |         50 |        240 |         14 |        304 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Logical\Boolean.php                                           | PHP        |         13 |         20 |          4 |         37 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Logical\Conditional.php                                       | PHP        |         82 |        106 |         24 |        212 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\Logical\Operations.php                                        | PHP        |         64 |         89 |         14 |        167 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef.php                                                 | PHP        |         78 |        302 |         19 |        399 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Address.php                                         | PHP        |         78 |         29 |         18 |        125 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\ExcelMatch.php                                      | PHP        |        187 |         37 |         29 |        253 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Filter.php                                          | PHP        |         56 |          3 |         17 |         76 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Formula.php                                         | PHP        |         28 |          8 |          8 |         44 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\HLookup.php                                         | PHP        |         85 |         19 |         18 |        122 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Helpers.php                                         | PHP        |         62 |          0 |         13 |         75 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Hyperlink.php                                       | PHP        |         22 |         12 |          8 |         42 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Indirect.php                                        | PHP        |         76 |         36 |         19 |        131 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Lookup.php                                          | PHP        |         76 |         12 |         19 |        107 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\LookupBase.php                                      | PHP        |         44 |         12 |          9 |         65 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\LookupRefValidations.php                            | PHP        |         26 |          0 |          9 |         35 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Matrix.php                                          | PHP        |         85 |         34 |         21 |        140 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Offset.php                                          | PHP        |         93 |         30 |         26 |        149 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\RowColumnInformation.php                            | PHP        |        117 |         65 |         29 |        211 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Selection.php                                       | PHP        |         29 |         14 |          9 |         52 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Sort.php                                            | PHP        |        191 |         71 |         51 |        313 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\Unique.php                                          | PHP        |         91 |         21 |         26 |        138 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef\VLookup.php                                         | PHP        |         78 |         20 |         20 |        118 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig.php                                                  | PHP        |        306 |      1,059 |         76 |      1,441 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Absolute.php                                         | PHP        |         20 |         11 |          7 |         38 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Angle.php                                            | PHP        |         32 |         22 |         10 |         64 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Arabic.php                                           | PHP        |         59 |         24 |         15 |         98 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Base.php                                             | PHP        |         36 |         19 |         11 |         66 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Ceiling.php                                          | PHP        |         84 |         62 |         20 |        166 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Combinations.php                                     | PHP        |         46 |         35 |         11 |         92 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Exp.php                                              | PHP        |         20 |         11 |          7 |         38 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Factorial.php                                        | PHP        |         71 |         39 |         17 |        127 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Floor.php                                            | PHP        |        103 |         67 |         22 |        192 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Gcd.php                                              | PHP        |         35 |         29 |          7 |         71 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Helpers.php                                          | PHP        |         71 |         37 |         18 |        126 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\IntClass.php                                         | PHP        |         20 |         14 |          7 |         41 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Lcm.php                                              | PHP        |         81 |         19 |         12 |        112 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Logarithms.php                                       | PHP        |         49 |         41 |         13 |        103 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\MatrixFunctions.php                                  | PHP        |        104 |         59 |         17 |        180 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Operations.php                                       | PHP        |         80 |         59 |         20 |        159 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Random.php                                           | PHP        |         54 |         35 |         11 |        100 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Roman.php                                            | PHP        |        820 |         14 |         13 |        847 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Round.php                                            | PHP        |        112 |         77 |         30 |        219 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\SeriesSum.php                                        | PHP        |         33 |         13 |          8 |         54 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Sign.php                                             | PHP        |         20 |         12 |          7 |         39 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Sqrt.php                                             | PHP        |         33 |         22 |         10 |         65 |
