Date : 2023-11-23 14:39:13
Directory : c:\xampp\htdocs\farmaciaProFarma
Total : 775 files,  127110 codes, 45920 comments, 25077 blanks, all 198107 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\ConditionalStyles.php                                         | PHP        |        273 |         18 |         50 |        341 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\DataValidations.php                                           | PHP        |         51 |          7 |          8 |         66 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\Hyperlinks.php                                                | PHP        |         52 |          3 |         11 |         66 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\Namespaces.php                                                | PHP        |         60 |          2 |         57 |        119 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\PageSetup.php                                                 | PHP        |        151 |          0 |         20 |        171 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\Properties.php                                                | PHP        |         84 |          5 |         18 |        107 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\SharedFormula.php                                             | PHP        |         20 |          0 |          7 |         27 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\SheetViewOptions.php                                          | PHP        |        120 |          0 |         19 |        139 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\SheetViews.php                                                | PHP        |        158 |          4 |         24 |        186 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\Styles.php                                                    | PHP        |        360 |         35 |         51 |        446 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\TableReader.php                                               | PHP        |         81 |         17 |         19 |        117 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\Theme.php                                                     | PHP        |         26 |         44 |          9 |         79 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xlsx\WorkbookView.php                                              | PHP        |        105 |         17 |         20 |        142 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml.php                                                            | PHP        |        501 |         75 |         81 |        657 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\DataValidations.php                                            | PHP        |        143 |          7 |         28 |        178 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\PageSettings.php                                               | PHP        |        111 |          0 |         20 |        131 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Properties.php                                                 | PHP        |        122 |          0 |         34 |        156 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style.php                                                      | PHP        |         83 |          5 |         20 |        108 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style\Alignment.php                                            | PHP        |         47 |          0 |         12 |         59 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style\Border.php                                               | PHP        |         81 |          3 |         15 |         99 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style\Fill.php                                                 | PHP        |         51 |          3 |         10 |         64 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style\Font.php                                                 | PHP        |         62 |          0 |         18 |         80 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style\NumberFormat.php                                         | PHP        |         24 |          0 |         10 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style\StyleBase.php                                            | PHP        |         23 |          0 |          8 |         31 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\ReferenceHelper.php                                                       | PHP        |        826 |        241 |        141 |      1,208 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\RichText\ITextElement.php                                                 | PHP        |         10 |         22 |          7 |         39 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\RichText\RichText.php                                                     | PHP        |         85 |         57 |         23 |        165 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\RichText\Run.php                                                          | PHP        |         29 |         28 |          9 |         66 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\RichText\TextElement.php                                                  | PHP        |         31 |         33 |         10 |         74 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Settings.php                                                              | PHP        |        101 |         91 |         30 |        222 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\CodePage.php                                                       | PHP        |         93 |         11 |         11 |        115 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Date.php                                                           | PHP        |        321 |        175 |         67 |        563 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Drawing.php                                                        | PHP        |         76 |         79 |         21 |        176 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher.php                                                         | PHP        |         23 |         34 |          8 |         65 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DgContainer.php                                             | PHP        |         41 |          7 |         14 |         62 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DgContainer\SpgrContainer.php                               | PHP        |         36 |         25 |         11 |         72 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DgContainer\SpgrContainer\SpContainer.php                   | PHP        |        131 |        194 |         44 |        369 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer.php                                            | PHP        |         62 |         92 |         21 |        175 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer.php                            | PHP        |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer\BSE.php                        | PHP        |         40 |         37 |         12 |         89 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer\BSE\Blip.php                   | PHP        |         24 |         24 |          9 |         57 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\File.php                                                           | PHP        |        126 |         42 |         30 |        198 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Font.php                                                           | PHP        |        445 |        186 |         71 |        702 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\IntOrFloat.php                                                     | PHP        |         10 |          8 |          4 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\OLE.php                                                            | PHP        |        254 |        247 |         66 |        567 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\OLERead.php                                                        | PHP        |        180 |         89 |         77 |        346 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\OLE\ChainedBlockStream.php                                         | PHP        |         94 |         79 |         24 |        197 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\OLE\PPS.php                                                        | PHP        |         82 |        126 |         24 |        232 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\OLE\PPS\File.php                                                   | PHP        |         19 |         38 |          6 |         63 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\OLE\PPS\Root.php                                                   | PHP        |        263 |        115 |         35 |        413 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\PasswordHasher.php                                                 | PHP        |         62 |         31 |         14 |        107 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\StringHelper.php                                                   | PHP        |        390 |        216 |         63 |        669 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\TimeZone.php                                                       | PHP        |         34 |         33 |         11 |         78 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\BestFit.php                                                  | PHP        |        231 |        184 |         71 |        486 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\ExponentialBestFit.php                                       | PHP        |         49 |         48 |         15 |        112 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\LinearBestFit.php                                            | PHP        |         31 |         38 |         10 |         79 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\LogarithmicBestFit.php                                       | PHP        |         35 |         38 |         11 |         84 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Shared\Trend\PolynomialBestFit.php                                        | PHP        |        111 |         82 |         22 |        215 |
